,Date,tv,pbr
0,2023-01-31,6.15,11.6
1,2023-02-01,6.46,11.42
2,2023-02-02,6.41,10.92
3,2023-02-03,6.15,10.84
4,2023-02-06,5.8,11.19
5,2023-02-07,5.75,11.05
6,2023-02-08,5.74,11.2
7,2023-02-09,5.66,11.05
8,2023-02-10,5.7,11.53
9,2023-02-13,5.9,11.7
10,2023-02-14,5.8,11.63
11,2023-02-15,5.8,11.62
12,2023-02-16,5.86,11.64
13,2023-02-17,5.87,11.55
14,2023-02-21,5.58,11.27
15,2023-02-22,5.7,11.27
16,2023-02-23,5.76,11.69
17,2023-02-24,5.11,11.38
18,2023-02-27,5.22,11.5
19,2023-02-28,4.96,11.09
20,2023-03-01,5.08,11.09
21,2023-03-02,5.24,10.76
22,2023-03-03,5.4,11.16
23,2023-03-06,5.45,11.43
24,2023-03-07,5.28,10.98
25,2023-03-08,5.27,11.28
26,2023-03-09,4.99,11.04
27,2023-03-10,4.82,10.88
28,2023-03-13,4.65,10.43
29,2023-03-14,4.69,10.25
30,2023-03-15,4.61,9.98
31,2023-03-16,4.6,10.02
32,2023-03-17,4.54,9.99
33,2023-03-20,4.49,9.77
34,2023-03-21,4.65,10.0
35,2023-03-22,4.58,9.91
36,2023-03-23,4.58,9.63
37,2023-03-24,4.69,9.7
38,2023-03-27,4.78,9.98
39,2023-03-28,4.89,10.21
40,2023-03-29,5.15,10.4
41,2023-03-30,5.31,10.53
42,2023-03-31,5.29,10.43
43,2023-04-03,5.19,10.92
44,2023-04-04,5.33,10.76
45,2023-04-05,5.15,10.87
46,2023-04-06,5.26,10.69
47,2023-04-10,5.47,10.9
48,2023-04-11,5.6,11.57
49,2023-04-12,5.35,11.75
50,2023-04-13,5.48,11.89
51,2023-04-14,5.37,12.06
52,2023-04-17,5.36,12.11
53,2023-04-18,5.12,12.29
54,2023-04-19,4.96,11.66
55,2023-04-20,4.91,11.76
56,2023-04-21,4.87,11.6
57,2023-04-24,4.86,11.95
58,2023-04-25,4.67,11.82
59,2023-04-26,4.66,11.74
60,2023-04-27,4.91,11.5
61,2023-04-28,5.06,10.62
62,2023-05-01,5.01,10.51
63,2023-05-02,4.93,10.12
64,2023-05-03,4.81,10.13
65,2023-05-04,4.73,10.27
66,2023-05-05,4.84,10.82
67,2023-05-08,4.85,10.86
68,2023-05-09,4.86,11.01
69,2023-05-10,4.86,11.11
70,2023-05-11,4.81,11.31
71,2023-05-12,4.82,11.86
72,2023-05-15,4.85,11.69
73,2023-05-16,4.87,11.78
74,2023-05-17,4.98,11.75
